----------------------------------------------------

lino's Order
Order placed on: 2024-11-14 12:13:45 
Product|Type|Size|Flavor|Price
Sandwich|WHITE|SMALL|$18.50 
-steak|MEAT|SMALL|$1.00 
-ham|MEAT|MEDIUM|$2.00 
-beef|MEAT|LARGE|$3.00 
-chicken|MEAT|SMALL|$1.00 
-swiss|CHEESE|LARGE|$2.25 
-american|CHEESE|MEDIUM|$1.50 
-cheddar|CHEESE|LARGE|$2.25 
-mayo|VEGGIE|N/A|$0.00 
-ranch|VEGGIE|N/A|$0.00 
-ketchup|VEGGIE|N/A|$0.00 
-fries|VEGGIE|N/A|$0.00 
-sauce|VEGGIE|N/A|$0.00 
-au jus|VEGGIE|N/A|$0.00
Drinks|soda|SMALL|pepsi|$2.00
Chips|lays|$1.50
Chips|doritos|$1.50
Chips|kettles|$1.50
----------------------------------------------------
Total Price: $25.00

